Default,Age,AmountOfPreviousLoansBeforeLoan,AppliedAmount,Country,DebtToIncome,Education,EmploymentDurationCurrentEmployer,EmploymentStatus,ExistingLiabilities,FreeCash,Gender,HomeOwnershipType,IncomeTotal,LiabilitiesTotal,LoanDuration,MaritalStatus,NewCreditCustomer,NoOfPreviousLoansBeforeLoan,NrOfDependants,OccupationArea,UseOfLoan,WorkExperience
False,45,0.0,530.0,EE,30.32,4.0,MoreThan5Years,3.0,7,41.08,1.0,9.0,633.0,666.0,60,1.0,True,0.0,0,1.0,2,15To25Years
False,49,0.0,5500.0,EE,29.57,4.0,MoreThan5Years,5.0,1,137.36,0.0,1.0,550.0,250.0,60,4.0,True,0.0,0,13.0,2,MoreThan25Years
False,31,1500.0,6900.0,EE,45.75,2.0,MoreThan5Years,3.0,10,201.87,0.0,1.0,833.0,754.0,60,3.0,False,1.0,1,19.0,7,5To10Years
True,22,1600.0,3190.0,EE,40.21,3.0,UpTo1Year,3.0,7,7.11,1.0,2.0,430.0,595.0,60,3.0,False,2.0,0,3.0,7,LessThan2Years
True,42,600.0,530.0,ES,58.9,5.0,UpTo1Year,3.0,9,61.05,1.0,1.0,1000.0,1097.32,60,3.0,False,1.0,0,1.0,7,LessThan2Years
False,33,3500.0,500.0,EE,50.22,2.0,UpTo5Years,3.0,6,195.29,0.0,1.0,987.0,769.33,60,1.0,False,1.0,3,1.0,5,15To25Years
False,67,0.0,3720.0,FI,60.21,3.0,UpTo2Years,6.0,12,53.48,0.0,3.0,1391.0,1637.0,60,4.0,True,0.0,0,6.0,0,MoreThan25Years
True,23,3800.0,2500.0,EE,48.6,4.0,UpTo1Year,3.0,4,34.78,1.0,7.0,554.0,535.0,60,2.0,False,2.0,0,3.0,6,2To5Years
True,45,0.0,9565.0,ES,15.76,5.0,MoreThan5Years,3.0,1,1356.07,0.0,1.0,2500.0,750.0,60,3.0,True,0.0,0,17.0,2,15To25Years
True,28,0.0,3500.0,EE,38.44,2.0,MoreThan5Years,3.0,1,7.32,0.0,2.0,418.0,250.0,60,3.0,True,0.0,0,19.0,3,5To10Years
True,28,0.0,4000.0,EE,54.88,2.0,MoreThan5Years,3.0,4,18.47,1.0,2.0,595.0,515.0,60,2.0,True,0.0,1,1.0,7,10To15Years
True,49,0.0,2000.0,EE,18.98,4.0,MoreThan5Years,3.0,2,24.67,1.0,1.0,339.0,364.0,60,1.0,True,0.0,1,14.0,6,MoreThan25Years
True,26,0.0,2500.0,FI,68.73,3.0,UpTo3Years,3.0,5,21.56,1.0,3.0,1700.0,1400.0,6,1.0,True,0.0,1,1.0,7,2To5Years
True,22,0.0,530.0,EE,18.82,2.0,UpTo5Years,3.0,2,277.67,1.0,3.0,650.0,350.0,60,3.0,True,0.0,0,9.0,4,2To5Years
True,31,6000.0,1060.0,EE,64.34,4.0,UpTo5Years,3.0,9,84.91,0.0,2.0,1500.0,2460.93,60,3.0,False,1.0,0,7.0,2,5To10Years
True,33,0.0,3000.0,EE,10.03,3.0,MoreThan5Years,3.0,2,314.94,0.0,1.0,1038.0,619.0,60,3.0,True,0.0,0,6.0,0,10To15Years
False,27,2000.0,1595.0,EE,11.49,4.0,UpTo1Year,3.0,2,936.2,0.0,4.0,1600.0,590.0,48,2.0,False,1.0,2,19.0,3,5To10Years
False,46,0.0,1500.0,EE,2.57,4.0,UpTo2Years,3.0,3,676.59,0.0,8.0,1611.0,893.0,60,4.0,True,0.0,0,19.0,2,MoreThan25Years
True,32,0.0,1000.0,ES,6.08,2.0,MoreThan5Years,3.0,1,525.37,0.0,2.0,932.0,350.0,48,3.0,True,0.0,0,1.0,2,10To15Years
True,34,0.0,4000.0,FI,59.16,3.0,MoreThan5Years,3.0,9,12.98,0.0,1.0,1256.0,1423.0,60,3.0,True,0.0,0,6.0,2,15To25Years
True,47,1500.0,1200.0,EE,17.46,3.0,UpTo3Years,3.0,3,945.69,0.0,1.0,1800.0,818.75,60,2.0,False,1.0,1,6.0,2,MoreThan25Years
False,68,0.0,1000.0,FI,45.1,2.0,MoreThan5Years,6.0,8,25.67,0.0,1.0,1706.0,1919.0,60,1.0,True,0.0,0,1.0,8,MoreThan25Years
True,69,0.0,4785.0,FI,69.99,4.0,MoreThan5Years,6.0,12,0.16,1.0,4.0,1870.0,2202.0,60,3.0,True,0.0,0,11.0,7,MoreThan25Years
True,43,0.0,5000.0,ES,68.38,5.0,UpTo1Year,2.0,6,13.67,1.0,4.0,1150.0,924.0,18,4.0,True,0.0,0,7.0,0,5To10Years
False,43,4635.0,4785.0,FI,38.7,5.0,MoreThan5Years,3.0,6,285.9,0.0,8.0,1871.0,1658.8,60,1.0,False,2.0,0,11.0,6,15To25Years
True,28,0.0,500.0,ES,3.23,4.0,UpTo3Years,3.0,1,424.15,0.0,2.0,800.0,350.0,36,3.0,True,0.0,0,19.0,1,2To5Years
False,37,0.0,2125.0,EE,45.57,4.0,UpTo5Years,3.0,9,19.99,1.0,2.0,496.0,1392.0,60,3.0,True,0.0,0,12.0,0,15To25Years
False,32,500.0,500.0,EE,14.9,3.0,UpTo1Year,3.0,4,155.06,1.0,3.0,476.0,512.31,60,2.0,False,1.0,1,9.0,2,2To5Years
True,25,0.0,9565.0,EE,69.45,5.0,UpTo5Years,3.0,5,4.71,0.0,2.0,850.0,896.0,60,3.0,True,0.0,0,4.0,0,5To10Years
True,23,0.0,1595.0,EE,36.2,4.0,UpTo1Year,3.0,6,24.36,1.0,2.0,430.0,424.0,60,3.0,True,0.0,0,16.0,6,LessThan2Years
False,50,3000.0,1400.0,EE,29.04,4.0,MoreThan5Years,3.0,4,182.88,1.0,1.0,610.0,460.96,36,1.0,False,1.0,0,16.0,2,MoreThan25Years
True,58,0.0,3190.0,FI,53.05,4.0,MoreThan5Years,3.0,6,4.23,1.0,4.0,1500.0,1430.0,60,4.0,True,0.0,0,17.0,2,MoreThan25Years
True,42,6400.0,2655.0,EE,35.92,4.0,UpTo3Years,3.0,5,150.69,0.0,1.0,850.0,618.17,60,2.0,False,3.0,1,3.0,2,15To25Years
True,42,0.0,1000.0,ES,34.89,2.0,MoreThan5Years,4.0,2,315.47,0.0,4.0,1022.0,640.0,60,1.0,True,0.0,2,11.0,0,10To15Years
False,54,0.0,2655.0,EE,60.65,4.0,UpTo2Years,3.0,8,1.84,1.0,4.0,640.0,777.0,60,3.0,True,0.0,0,19.0,0,MoreThan25Years
False,30,1000.0,530.0,EE,9.55,4.0,UpTo3Years,3.0,2,725.38,0.0,1.0,1200.0,460.0,60,3.0,False,2.0,0,4.0,5,5To10Years
True,31,1500.0,4000.0,EE,37.39,4.0,UpTo2Years,3.0,9,162.36,1.0,8.0,895.0,1000.99,60,2.0,False,2.0,1,3.0,7,10To15Years
False,26,0.0,10000.0,FI,36.74,3.0,UpTo5Years,3.0,2,542.5,0.0,4.0,1648.0,800.0,60,2.0,True,0.0,1,6.0,7,5To10Years
True,37,0.0,1000.0,EE,5.97,2.0,UpTo3Years,3.0,1,501.3,0.0,2.0,799.0,250.0,36,3.0,True,0.0,0,1.0,8,2To5Years
False,34,9400.0,2400.0,EE,34.77,5.0,MoreThan5Years,3.0,5,616.49,0.0,3.0,1750.0,1064.73,60,1.0,False,3.0,2,1.0,6,5To10Years
False,30,0.0,900.0,EE,2.28,2.0,MoreThan5Years,3.0,1,887.07,1.0,3.0,1310.0,393.0,60,3.0,True,0.0,0,9.0,7,15To25Years
False,64,4500.0,3720.0,ES,62.96,4.0,MoreThan5Years,4.0,4,105.56,0.0,1.0,1500.0,2390.0,48,3.0,False,2.0,0,7.0,3,MoreThan25Years
False,44,0.0,2655.0,FI,49.28,4.0,UpTo5Years,3.0,15,140.75,0.0,6.0,2127.0,2723.0,60,1.0,True,0.0,1,8.0,6,MoreThan25Years
True,44,4200.0,6910.0,EE,39.16,4.0,UpTo1Year,3.0,7,281.95,0.0,8.0,1300.0,1085.87,60,1.0,False,1.0,1,6.0,7,MoreThan25Years
False,54,5160.0,7970.0,FI,50.97,2.0,MoreThan5Years,6.0,9,39.32,0.0,1.0,1100.0,1028.5,60,1.0,False,3.0,0,1.0,2,MoreThan25Years
True,56,2000.0,1060.0,ES,16.16,2.0,MoreThan5Years,6.0,2,285.47,0.0,1.0,758.0,435.21,60,1.0,False,1.0,0,6.0,7,15To25Years
False,34,0.0,4785.0,ES,60.15,5.0,MoreThan5Years,6.0,2,122.51,0.0,9.0,1236.0,945.0,60,1.0,True,0.0,2,1.0,7,2To5Years
True,31,2900.0,5900.0,ES,21.05,5.0,UpTo4Years,3.0,1,1009.97,0.0,3.0,2062.0,618.0,18,3.0,True,1.0,0,10.0,2,10To15Years
True,26,3000.0,5315.0,EE,60.03,2.0,UpTo5Years,3.0,7,139.64,0.0,3.0,1400.0,1430.0,60,3.0,False,1.0,0,3.0,6,5To10Years
True,49,6000.0,1060.0,EE,67.02,4.0,MoreThan5Years,3.0,10,13.8,1.0,4.0,800.0,1385.06,60,3.0,False,3.0,0,3.0,7,10To15Years
True,40,0.0,4785.0,ES,50.39,2.0,UpTo5Years,6.0,2,235.36,0.0,2.0,1200.0,660.0,60,3.0,True,0.0,0,1.0,0,15To25Years
True,55,0.0,10630.0,FI,47.82,3.0,MoreThan5Years,3.0,10,4.32,1.0,1.0,2212.0,2002.0,60,1.0,True,0.0,0,15.0,0,MoreThan25Years
True,30,0.0,500.0,ES,1.69,4.0,MoreThan5Years,3.0,1,853.82,0.0,2.0,1250.0,375.0,60,3.0,True,0.0,0,10.0,8,10To15Years
True,38,7200.0,1060.0,EE,27.49,2.0,UpTo2Years,3.0,2,175.64,1.0,1.0,587.0,381.18,60,1.0,False,2.0,2,10.0,7,15To25Years
True,41,0.0,1000.0,ES,3.33,2.0,UpTo2Years,3.0,1,800.0,0.0,4.0,1200.0,360.0,48,1.0,True,0.0,0,8.0,7,15To25Years
True,44,0.0,1060.0,FI,1.79,3.0,MoreThan5Years,6.0,1,1432.47,0.0,9.0,2100.0,630.0,60,2.0,True,0.0,0,1.0,5,10To15Years
True,37,3000.0,1500.0,ES,11.76,1.0,MoreThan5Years,3.0,3,216.85,1.0,8.0,1200.0,928.59,60,1.0,False,1.0,0,1.0,7,15To25Years
True,34,0.0,3185.0,ES,60.17,4.0,UpTo1Year,4.0,9,176.96,1.0,2.0,1800.0,1629.0,60,3.0,True,0.0,0,9.0,7,5To10Years
True,55,3700.0,1700.0,EE,37.86,4.0,MoreThan5Years,3.0,7,35.01,1.0,1.0,700.0,687.03,60,4.0,False,2.0,0,7.0,7,MoreThan25Years
False,22,0.0,500.0,EE,4.99,2.0,UpTo1Year,3.0,1,384.64,0.0,3.0,668.0,250.0,24,2.0,False,0.0,1,6.0,7,2To5Years
True,69,2500.0,2125.0,FI,62.52,5.0,MoreThan5Years,6.0,17,36.03,0.0,8.0,2900.0,2982.55,60,1.0,False,1.0,0,15.0,2,MoreThan25Years
False,26,1000.0,635.0,EE,8.9,5.0,UpTo1Year,3.0,3,465.1,0.0,2.0,785.0,898.0,60,3.0,False,2.0,0,7.0,1,2To5Years
False,50,1000.0,5500.0,EE,15.87,4.0,UpTo1Year,3.0,2,863.9,1.0,1.0,1595.0,575.73,60,1.0,False,1.0,1,1.0,7,MoreThan25Years
True,24,1500.0,500.0,ES,56.24,3.0,UpTo1Year,2.0,5,21.97,0.0,2.0,850.0,835.0,60,3.0,False,1.0,0,9.0,7,2To5Years
True,26,0.0,2125.0,ES,31.91,5.0,UpTo1Year,3.0,6,72.81,1.0,2.0,621.0,752.0,60,3.0,True,0.0,0,7.0,4,2To5Years
True,52,0.0,1595.0,ES,8.58,4.0,MoreThan5Years,3.0,2,27.45,1.0,8.0,1184.0,1055.0,60,4.0,True,0.0,1,4.0,2,MoreThan25Years
True,69,0.0,2800.0,ES,12.53,2.0,MoreThan5Years,6.0,1,204.56,1.0,1.0,634.0,350.0,60,5.0,True,0.0,3,1.0,7,10To15Years
False,24,0.0,10630.0,EE,58.82,5.0,UpTo1Year,3.0,3,4.91,1.0,2.0,619.0,316.0,60,3.0,True,0.0,0,15.0,0,LessThan2Years
True,39,0.0,3190.0,ES,18.74,3.0,UpTo3Years,3.0,2,381.38,0.0,2.0,900.0,780.0,60,3.0,True,0.0,0,17.0,7,5To10Years
True,32,0.0,1060.0,EE,49.54,3.0,UpTo3Years,3.0,11,76.56,0.0,7.0,1091.0,1131.0,60,1.0,False,0.0,1,15.0,6,10To15Years
False,69,0.0,3000.0,EE,25.23,5.0,MoreThan5Years,6.0,1,37.87,1.0,1.0,385.0,250.0,60,1.0,True,0.0,0,1.0,1,MoreThan25Years
True,39,5500.0,2125.0,EE,52.99,2.0,MoreThan5Years,3.0,5,19.36,0.0,7.0,573.0,711.71,60,1.0,False,1.0,1,7.0,2,15To25Years
True,51,1705.0,5315.0,FI,33.31,5.0,MoreThan5Years,3.0,5,375.5,0.0,7.0,2250.0,1721.52,60,2.0,False,1.0,0,15.0,8,MoreThan25Years
False,46,1000.0,500.0,EE,41.05,4.0,MoreThan5Years,3.0,4,15.27,1.0,1.0,450.0,420.6,60,3.0,False,1.0,1,3.0,7,MoreThan25Years
True,51,2500.0,5315.0,EE,40.14,4.0,UpTo4Years,3.0,9,213.89,0.0,1.0,775.0,1254.49,60,2.0,False,1.0,3,5.0,2,MoreThan25Years
True,39,0.0,3000.0,FI,18.41,3.0,UpTo2Years,3.0,5,831.62,0.0,9.0,2300.0,1356.0,60,3.0,True,0.0,0,6.0,0,15To25Years
True,48,0.0,2125.0,EE,21.98,4.0,UpTo1Year,3.0,1,7.47,1.0,4.0,330.0,250.0,60,1.0,True,0.0,0,19.0,2,MoreThan25Years
False,21,0.0,5000.0,EE,39.52,3.0,UpTo1Year,3.0,1,111.68,0.0,1.0,598.0,250.0,36,2.0,True,0.0,0,6.0,2,2To5Years
False,30,500.0,500.0,EE,57.46,4.0,MoreThan5Years,3.0,10,47.77,1.0,3.0,700.0,730.99,18,3.0,False,1.0,0,1.0,6,5To10Years
False,40,2000.0,2500.0,FI,38.74,3.0,MoreThan5Years,3.0,5,922.53,0.0,4.0,2949.0,1785.83,12,3.0,False,1.0,1,1.0,7,10To15Years
False,44,2500.0,8505.0,FI,65.7,4.0,MoreThan5Years,3.0,15,75.72,1.0,1.0,1760.0,1896.61,60,4.0,False,1.0,0,17.0,7,15To25Years
True,56,0.0,1595.0,EE,30.37,2.0,UpTo2Years,3.0,5,91.21,0.0,1.0,490.0,596.0,60,1.0,True,0.0,0,6.0,7,15To25Years
True,26,0.0,500.0,EE,37.15,2.0,UpTo2Years,3.0,5,101.98,1.0,4.0,560.0,714.0,60,3.0,True,0.0,1,9.0,0,10To15Years
False,24,0.0,1000.0,FI,3.82,4.0,UpTo1Year,3.0,2,1389.79,1.0,4.0,2100.0,675.0,48,3.0,True,0.0,0,12.0,6,5To10Years
False,53,0.0,1060.0,EE,40.2,4.0,UpTo5Years,3.0,6,7.13,1.0,3.0,430.0,466.0,60,4.0,True,0.0,0,9.0,0,15To25Years
True,23,1300.0,2000.0,EE,41.14,2.0,UpTo3Years,3.0,8,126.69,0.0,1.0,640.0,1337.27,60,3.0,False,2.0,0,8.0,5,5To10Years
True,47,0.0,10630.0,FI,27.27,4.0,MoreThan5Years,3.0,4,811.84,1.0,5.0,1900.0,860.0,60,1.0,False,0.0,0,17.0,0,MoreThan25Years
True,37,500.0,700.0,ES,3.88,3.0,UpTo5Years,3.0,2,793.44,0.0,3.0,1200.0,383.81,60,3.0,False,1.0,2,9.0,7,15To25Years
False,46,7100.0,6000.0,EE,43.2,4.0,MoreThan5Years,3.0,2,298.64,1.0,7.0,1112.0,633.56,60,1.0,False,1.0,2,18.0,8,MoreThan25Years
False,52,0.0,10000.0,EE,13.22,5.0,MoreThan5Years,5.0,4,557.42,0.0,1.0,2462.0,1619.0,60,3.0,True,0.0,0,7.0,3,MoreThan25Years
True,33,2000.0,1500.0,FI,10.46,5.0,UpTo5Years,3.0,3,1958.74,1.0,3.0,3290.0,1287.71,60,3.0,False,1.0,0,9.0,1,10To15Years
False,46,0.0,1000.0,ES,10.94,3.0,MoreThan5Years,4.0,3,417.77,0.0,8.0,1300.0,853.0,60,1.0,True,0.0,3,6.0,7,MoreThan25Years
True,64,0.0,500.0,EE,4.85,4.0,MoreThan5Years,6.0,1,46.86,1.0,5.0,312.0,250.0,60,5.0,True,0.0,0,11.0,2,MoreThan25Years
True,58,0.0,3000.0,FI,17.58,4.0,MoreThan5Years,6.0,6,493.93,0.0,7.0,1206.0,597.0,60,2.0,True,0.0,1,17.0,7,MoreThan25Years
True,50,0.0,2125.0,FI,50.9,4.0,MoreThan5Years,6.0,9,109.83,1.0,4.0,1242.0,1491.0,60,4.0,True,0.0,1,1.0,7,MoreThan25Years
True,31,0.0,7000.0,EE,30.01,2.0,TrialPeriod,3.0,1,263.05,0.0,2.0,733.0,250.0,60,3.0,False,0.0,0,1.0,2,10To15Years
True,38,0.0,500.0,EE,26.67,4.0,UpTo2Years,3.0,5,288.21,1.0,1.0,734.0,448.0,36,2.0,True,0.0,1,9.0,2,5To10Years
False,36,0.0,10630.0,EE,56.13,4.0,MoreThan5Years,3.0,5,166.65,0.0,1.0,1196.0,980.0,60,1.0,True,0.0,0,1.0,2,15To25Years
True,46,0.0,7440.0,ES,44.23,5.0,MoreThan5Years,3.0,11,6.71,0.0,8.0,2049.0,2199.0,60,1.0,True,0.0,0,1.0,7,15To25Years
True,21,0.0,2500.0,EE,42.4,4.0,UpTo2Years,3.0,2,95.59,0.0,3.0,600.0,388.42,60,3.0,True,0.0,0,1.0,0,2To5Years
True,32,9875.0,500.0,EE,18.72,4.0,UpTo3Years,5.0,3,1179.45,0.0,7.0,2300.0,1103.57,60,2.0,False,2.0,2,6.0,3,10To15Years
True,62,2000.0,3190.0,EE,25.63,4.0,MoreThan5Years,3.0,1,6.56,1.0,6.0,345.0,250.0,60,3.0,False,1.0,0,9.0,2,MoreThan25Years
True,51,0.0,4785.0,ES,23.51,4.0,MoreThan5Years,3.0,1,578.06,0.0,4.0,1242.0,372.0,60,4.0,True,0.0,2,1.0,7,MoreThan25Years
False,28,4044.2673,4000.0,EE,32.11,3.0,UpTo2Years,3.0,6,568.37,0.0,1.0,1500.0,919.0,60,2.0,False,6.0,0,3.0,0,5To10Years
True,49,1500.0,2500.0,ES,21.02,4.0,UpTo2Years,4.0,2,309.77,1.0,4.0,1600.0,523.88,60,1.0,False,1.0,2,14.0,2,10To15Years
False,45,0.0,1000.0,EE,34.61,4.0,UpTo1Year,3.0,2,290.09,1.0,1.0,826.0,358.0,6,1.0,True,0.0,1,10.0,2,15To25Years
True,38,0.0,530.0,EE,48.27,4.0,MoreThan5Years,3.0,8,75.54,0.0,8.0,900.0,807.0,60,1.0,True,0.0,2,3.0,5,10To15Years
False,64,0.0,1000.0,ES,16.76,4.0,MoreThan5Years,4.0,1,638.87,0.0,1.0,1200.0,360.0,6,3.0,True,0.0,0,7.0,7,MoreThan25Years
True,48,1600.0,1500.0,ES,68.48,4.0,UpTo1Year,3.0,10,18.2,0.0,2.0,1200.0,1076.8,18,3.0,False,1.0,0,1.0,7,5To10Years
False,46,2500.0,3000.0,EE,54.96,5.0,UpTo5Years,3.0,5,5.39,1.0,1.0,567.0,590.98,24,1.0,False,1.0,0,7.0,5,15To25Years
True,48,0.0,3720.0,ES,20.72,1.0,MoreThan5Years,3.0,1,402.36,0.0,3.0,949.0,350.0,60,3.0,True,0.0,1,1.0,7,5To10Years
True,48,0.0,1595.0,ES,62.02,4.0,UpTo4Years,3.0,7,43.88,1.0,2.0,1037.0,1449.0,60,3.0,True,0.0,0,9.0,7,10To15Years
False,53,0.0,4250.0,FI,63.61,3.0,MoreThan5Years,3.0,9,91.75,0.0,8.0,3000.0,3130.0,60,1.0,True,0.0,0,10.0,5,MoreThan25Years
False,42,0.0,8000.0,FI,55.9,5.0,MoreThan5Years,3.0,10,634.29,1.0,9.0,4500.0,3573.0,60,3.0,True,0.0,0,17.0,1,10To15Years
False,27,0.0,700.0,EE,10.95,5.0,UpTo3Years,3.0,2,386.73,1.0,1.0,715.0,305.0,60,3.0,True,0.0,0,15.0,5,2To5Years
False,41,0.0,3000.0,EE,10.6,5.0,MoreThan5Years,3.0,2,470.39,1.0,1.0,1081.0,496.0,60,3.0,True,0.0,0,16.0,2,15To25Years
True,38,1350.0,5000.0,EE,47.33,2.0,MoreThan5Years,3.0,8,96.54,1.0,7.0,658.0,843.2,60,2.0,False,1.0,3,7.0,0,5To10Years
True,30,10100.0,4785.0,EE,46.27,4.0,MoreThan5Years,3.0,11,71.12,0.0,8.0,1223.0,1220.16,60,2.0,False,3.0,1,19.0,0,10To15Years
False,38,0.0,10000.0,EE,40.85,4.0,MoreThan5Years,3.0,7,68.5,1.0,9.0,1071.0,1140.0,60,2.0,True,0.0,1,7.0,2,15To25Years
True,59,0.0,2000.0,EE,63.49,5.0,TrialPeriod,3.0,7,143.25,0.0,1.0,2200.0,1992.0,60,3.0,True,0.0,0,1.0,0,15To25Years
True,42,3190.0,6590.0,ES,63.03,5.0,MoreThan5Years,3.0,13,185.11,0.0,2.0,2654.0,2418.14,60,1.0,False,1.0,2,11.0,2,15To25Years
True,36,0.0,2125.0,ES,47.22,4.0,MoreThan5Years,3.0,8,45.87,1.0,2.0,750.0,814.0,60,3.0,True,0.0,0,1.0,7,LessThan2Years
True,61,8000.0,6910.0,FI,64.16,4.0,UpTo1Year,3.0,11,102.02,1.0,6.0,1741.0,2255.4,60,2.0,False,1.0,0,17.0,0,MoreThan25Years
False,60,0.0,3000.0,EE,7.99,4.0,MoreThan5Years,4.0,6,1323.85,1.0,1.0,7000.0,7112.0,60,1.0,True,0.0,0,19.0,1,15To25Years
True,39,0.0,2655.0,ES,53.62,2.0,UpTo2Years,3.0,7,196.52,0.0,1.0,1200.0,3196.0,60,1.0,True,0.0,1,8.0,0,15To25Years
True,42,3500.0,530.0,FI,22.41,4.0,UpTo4Years,3.0,4,3.52,0.0,8.0,1100.0,1079.83,60,3.0,False,1.0,3,1.0,7,15To25Years
True,30,0.0,7000.0,FI,13.08,4.0,UpTo2Years,3.0,2,1484.81,0.0,3.0,2608.0,882.0,60,2.0,True,0.0,1,6.0,6,10To15Years
True,37,3500.0,2000.0,EE,41.15,2.0,UpTo3Years,3.0,7,83.67,0.0,1.0,567.0,538.88,60,1.0,False,2.0,4,6.0,2,15To25Years
True,48,0.0,500.0,EE,6.27,2.0,MoreThan5Years,3.0,2,1147.08,0.0,1.0,1800.0,630.0,36,1.0,True,0.0,0,6.0,7,MoreThan25Years
True,42,0.0,10000.0,FI,13.89,4.0,UpTo3Years,3.0,2,1250.85,1.0,1.0,2852.0,1205.0,60,1.0,True,0.0,2,11.0,2,15To25Years
False,46,0.0,2000.0,EE,12.4,4.0,MoreThan5Years,5.0,1,1152.07,0.0,1.0,2000.0,600.0,9,2.0,True,0.0,1,3.0,3,MoreThan25Years
False,38,0.0,1000.0,EE,2.73,5.0,UpTo2Years,5.0,2,668.62,1.0,1.0,1187.0,486.0,60,2.0,True,0.0,2,1.0,4,LessThan2Years
False,25,0.0,1600.0,EE,31.38,4.0,UpTo2Years,2.0,4,8.01,1.0,1.0,376.0,428.0,48,2.0,True,0.0,1,1.0,2,5To10Years
False,50,0.0,4000.0,EE,43.01,3.0,MoreThan5Years,3.0,5,74.82,1.0,1.0,570.0,378.0,36,2.0,True,0.0,0,17.0,2,10To15Years
True,48,0.0,1060.0,ES,66.43,3.0,MoreThan5Years,3.0,8,19.32,0.0,2.0,1100.0,1419.0,60,4.0,True,0.0,0,1.0,7,MoreThan25Years
True,24,0.0,4500.0,EE,52.73,2.0,UpTo1Year,3.0,9,1.47,1.0,4.0,532.0,863.72,60,1.0,True,0.0,2,1.0,1,LessThan2Years
True,65,0.0,5100.0,FI,44.73,2.0,MoreThan5Years,6.0,6,128.44,0.0,3.0,1137.0,1184.0,60,3.0,True,0.0,0,1.0,0,MoreThan25Years
False,43,0.0,10000.0,FI,39.04,4.0,MoreThan5Years,3.0,3,702.07,0.0,1.0,2267.0,1230.0,60,1.0,True,0.0,2,17.0,2,15To25Years
False,29,0.0,8500.0,ES,51.38,2.0,MoreThan5Years,3.0,7,184.79,1.0,5.0,1100.0,1113.0,60,3.0,True,0.0,0,14.0,0,5To10Years
False,48,2000.0,1595.0,EE,37.9,5.0,MoreThan5Years,3.0,7,157.38,1.0,1.0,656.0,702.87,60,3.0,False,2.0,1,14.0,8,MoreThan25Years
True,49,0.0,8000.0,FI,41.38,4.0,UpTo5Years,3.0,7,38.14,1.0,1.0,2160.0,2405.0,60,3.0,True,0.0,1,1.0,7,15To25Years
True,34,0.0,6375.0,EE,30.39,5.0,MoreThan5Years,3.0,4,194.78,1.0,2.0,639.0,441.0,60,2.0,True,0.0,2,7.0,0,10To15Years
True,26,2600.0,1600.0,EE,23.89,4.0,UpTo1Year,3.0,2,126.73,1.0,3.0,495.0,309.59,60,1.0,False,3.0,1,7.0,2,5To10Years
False,44,2600.0,1060.0,EE,35.21,4.0,UpTo3Years,3.0,4,9.15,1.0,1.0,400.0,412.48,60,1.0,False,2.0,0,9.0,7,2To5Years
True,27,635.0,530.0,EE,2.58,4.0,UpTo2Years,3.0,1,579.81,0.0,3.0,860.0,258.0,60,2.0,True,1.0,1,6.0,7,5To10Years
True,44,0.0,3720.0,EE,51.03,4.0,UpTo1Year,3.0,5,194.92,0.0,1.0,1025.0,959.0,60,1.0,True,0.0,2,6.0,6,15To25Years
